,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2621,2622,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4050,2020-01-24
337,338,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4050,2020-01-25
2806,2807,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2300,2100,2020-01-26
1689,1690,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2100,2450,2250,2020-01-27
311,312,Pune,Pune,Wheat,Sharbati,FAQ,3450,4200,3850,2020-01-28
326,327,Pune,Pune,Wheat,Sharbati,FAQ,3300,4150,3750,2020-01-29
2984,2985,Pune,Pune,Wheat,Sharbati,FAQ,3500,4100,3800,2020-01-30
1809,1810,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2000,2311,2150,2020-02-02
318,319,Pune,Pune,Wheat,Sharbati,FAQ,3550,4300,3950,2020-02-03
2417,2418,Pune,Pune,Wheat,Sharbati,FAQ,3700,4400,4050,2020-02-04
2141,2142,Pune,Pune,Wheat,Sharbati,FAQ,3600,4300,3950,2020-02-05
1807,1808,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2301,2100,2020-02-06
2400,2401,Pune,Pune,Wheat,Sharbati,FAQ,3500,4350,3950,2020-02-07
1454,1455,Pune,Indapur(Nimgaon Ketki),Wheat,Maharashtra 2189,FAQ,1900,2601,2251,2020-02-08
679,680,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2000,2301,2150,2020-02-09
22,23,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2050,1980,2020-02-10
553,554,Pune,Pune,Wheat,Sharbati,FAQ,3800,4450,4150,2020-02-11
361,362,Pune,Pune,Wheat,Sharbati,FAQ,4000,4500,4250,2020-02-12
862,863,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1931,2400,2100,2020-02-13
